sequence,filename,kernel_length,kernel_angle,blend,psnr,ssim,time_ms
GOPR0374_11_00,000016.png,11,15.0,0.2,27.848965019538916,0.7890026091303275,3755.7803000017884
GOPR0374_11_00,000017.png,11,15.0,0.2,26.382267892931882,0.7460080667928265,3812.3028999980306
GOPR0374_11_00,000018.png,11,15.0,0.2,26.347725565232324,0.7770733371235362,3606.6299000012805
GOPR0374_11_00,000019.png,11,15.0,0.2,24.64887768805021,0.6863430730721068,3843.145300001197
GOPR0374_11_00,000020.png,11,15.0,0.2,24.027718670144523,0.6879675475937165,3905.6845999984944
GOPR0374_11_00,000021.png,11,15.0,0.2,23.416138630279022,0.7031903551551276,3974.033300000883
GOPR0374_11_00,000022.png,11,15.0,0.2,22.21041497314014,0.6679182369510085,3850.8529999999155
GOPR0374_11_00,000023.png,11,15.0,0.2,22.30119541983694,0.6256508246315926,3860.6862999986333
GOPR0374_11_00,000024.png,11,15.0,0.2,25.84925952884717,0.7559602947827462,3845.60269999929
GOPR0374_11_00,000025.png,11,15.0,0.2,23.602087556282484,0.6700237043833557,3855.638600001839
