sequence,filename,blend,confidence,psnr,ssim,time_ms
GOPR0374_11_00,000005.png,0.9,1.0,24.952096138076122,0.7865781638754323,674.8371000012412
GOPR0374_11_00,000006.png,0.9,1.0,25.030346511145538,0.7841877994250565,699.7995000001538
GOPR0374_11_00,000007.png,0.9,1.0,25.368559193961524,0.779161669413459,796.3333000006969
GOPR0374_11_00,000008.png,0.9,1.0,26.839259610000433,0.8499155404077366,674.9898000016401
GOPR0374_11_00,000009.png,0.9,1.0,26.01709565695435,0.7940691900455209,688.4217999995599
GOPR0374_11_00,000010.png,0.9,1.0,25.539081047926132,0.7816311937350017,669.8028999999224
GOPR0374_11_00,000011.png,0.9,1.0,23.951847637134712,0.7514645780358583,685.6733000004169
GOPR0374_11_00,000012.png,0.9,1.0,23.24190564278094,0.7509046503088541,694.8720000000321
GOPR0374_11_00,000013.png,0.9,1.0,22.48965801029087,0.7666269330863583,707.817000000432
GOPR0374_11_00,000014.png,0.9,1.0,24.065199798138167,0.7542317177902014,699.7187000015401
GOPR0374_11_00,000015.png,0.9,1.0,24.72788618730952,0.722300669453093,703.9322000000539
GOPR0374_11_00,000016.png,0.9,1.0,27.589865592494323,0.8277722088942202,727.1405000010418
GOPR0374_11_00,000017.png,0.9,1.0,25.814203979702693,0.7625426822876354,782.3987000010675
GOPR0374_11_00,000018.png,0.9,1.0,26.179658436894538,0.816014278452143,682.0931999991444
GOPR0374_11_00,000019.png,0.9,1.0,25.515738782918532,0.7239596834165862,679.8521000000619
GOPR0374_11_00,000020.png,0.9,1.0,25.26251436908044,0.7335697637373583,689.0199999998003
GOPR0374_11_00,000021.png,0.9,1.0,24.09633601154991,0.7238616303470778,681.7694999990636
GOPR0374_11_00,000022.png,0.9,1.0,23.536136073959565,0.7063465740249528,677.168399999573
GOPR0374_11_00,000023.png,0.9,1.0,23.81639402875898,0.6868449417081933,681.4604000010149
GOPR0374_11_00,000024.png,0.9,1.0,25.569172600113713,0.7893539691511454,679.2427000000316
GOPR0374_11_00,000025.png,0.9,1.0,25.21771563897577,0.7260785541411875,684.4992000005732
GOPR0374_11_00,000026.png,0.9,1.0,24.113837805338996,0.6815205602740265,697.1510000003036
GOPR0374_11_00,000027.png,0.9,1.0,25.164725736132482,0.6942396249306809,729.097900000852
GOPR0374_11_00,000028.png,0.9,1.0,27.573867728772655,0.8612347339054233,684.4432999987475
